postcode,point_coord,street,city,state,is_klang_valley,is_peninsular,is_east_malaysia,is_kuala_lumpur
1000,POINT(6.4312 100.2056),Taman Sepadu 1,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Sepadu,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Bahagia,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Embun,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Idaman,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Intan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Manis,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Medan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Murni,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Pilihan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Puchong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Pulai 4,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seri Tanjung,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Seriab,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Setia Utama,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Simpang Tiga,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Sri Guar Syed Alwi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Suriani,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Syed Alwi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Ten,Kangar,Perlis,0,1,0,0
